X,Y,OBJECTID,EVT_RT,EVT_RIN,EVT_DATE,LOCATION,RUCR,RUCR_EXT_D
-63.560488412039483,44.684182160923996,685,GO,867741,2017-07-18T00:00:00.000Z,MICMAC BLVD,2142,THEFT FROM VEHICLE
-63.68015955951838,44.765459005651792,686,GO,867591,2017-07-18T00:00:00.000Z,SACKVILLE DR,2135,THEFT OF VEHICLE
-63.486174429456106,44.65002453727697,687,GO,867773,2017-07-18T00:00:00.000Z,WESTFIELD CRES,2142,THEFT FROM VEHICLE
-63.565637371093409,44.666496180654505,688,GO,867665,2017-07-18T00:00:00.000Z,PORTLAND ST,1430,ASSAULT
-63.490052757473279,44.612500497715466,689,GO,867675,2017-07-18T00:00:00.000Z,COW BAY RD,1430,ASSAULT
-63.635013195084042,44.63922922678735,690,GO,867809,2017-07-18T00:00:00.000Z,MILSOM ST,2142,THEFT FROM VEHICLE
-63.542808120062084,44.670396427820961,691,GO,867779,2017-07-18T00:00:00.000Z,ROSE WAY,2142,THEFT FROM VEHICLE
-63.585772277245312,44.651202542502617,692,GO,867785,2017-07-18T00:00:00.000Z,CORNWALLIS ST,2142,THEFT FROM VEHICLE
-63.592649012797587,44.654697567882735,693,GO,867607,2017-07-18T00:00:00.000Z,AGRICOLA ST,1430,ASSAULT
-63.569362318064016,44.680769594704749,694,GO,867993,2017-07-18T00:00:00.000Z,CLEARVIEW CRES,2132,THEFT FROM VEHICLE
-63.597550329683912,44.712306377981406,695,GO,867858,2017-07-18T00:00:00.000Z,TURNER DR,1430,ASSAULT
-63.497466802346452,44.69635262138604,696,GO,867826,2017-07-18T00:00:00.000Z,LOONVIEW LANE,2120,BREAK AND ENTER
-63.580544868317624,44.688707454443183,697,GO,867722,2017-07-18T00:00:00.000Z,LEAMAN DR,2135,THEFT OF VEHICLE
-63.694462274960713,44.775144957202471,698,GO,867509,2017-07-18T00:00:00.000Z,SACKVILLE DR,1430,ASSAULT
